,MEMBER,PARTY,PVI,2016 D%,2016 R%,CLINTON %,TRUMP %
Alabama-01,Bradley Byrne,R,R+15,0.00%,96.40%,33.80%,63.00%
Alabama-02,Martha Roby,R,R+16,40.50%,48.80%,32.80%,64.50%
Alabama-03,Mike Rogers,R,R+16,32.90%,66.90%,31.90%,64.80%
Alabama-04,Robert Aderholt,R,R+30,0.00%,98.50%,17.30%,79.80%
Alabama-05,Mo Brooks,R,R+18,33.20%,66.70%,30.90%,63.70%
Alabama-06,Gary Palmer,R,R+26,25.40%,74.50%,25.80%,69.60%
Alabama-07,Terri Sewell,D,D+20,98.40%,0.00%,69.50%,28.30%
Alaska-AL,Don Young,R,R+9,36.00%,50.30%,36.60%,51.30%
Arizona-01,Tom O'Halleran,D,R+2,50.70%,43.40%,46.00%,47.00%
Arizona-02,Martha McSally,R,R+1,43.00%,57.00%,48.70%,43.90%
Arizona-03,Raul Grijalva,D,D+13,88.10%,0.00%,61.60%,32.10%
Arizona-04,Paul Gosar,R,R+21,28.50%,71.50%,27.00%,66.40%
Arizona-05,Andy Biggs,R,R+15,35.90%,64.10%,35.50%,56.10%
Arizona-06,David Schweikert,R,R+9,37.90%,62.10%,41.70%,51.60%
Arizona-07,Ruben Gallego,D,D+23,75.20%,24.70%,70.60%,22.30%
Arizona-08,Trent Franks,R,R+13,0.00%,68.50%,36.40%,57.10%
Arizona-09,Kyrsten Sinema,D,D+4,60.90%,39.00%,53.50%,37.60%
Arkansas-01,Rick Crawford,R,R+17,0.00%,76.30%,30.20%,65.00%
Arkansas-02,French Hill,R,R+7,36.80%,58.30%,41.70%,52.40%
Arkansas-03,Steve Womack,R,R+19,0.00%,77.30%,30.50%,61.90%
Arkansas-04,Bruce Westerman,R,R+17,0.00%,74.90%,31.30%,64.20%
California-01,Doug La Malfa,R,R+11,40.90%,59.10%,36.00%,55.40%
California-02,Jared Huffman,D,D+22,76.90%,23.10%,68.30%,23.10%
California-03,John Garamendi,D,D+5,59.40%,40.60%,52.60%,40.10%
California-04,Tom McClintock,R,R+10,37.30%,62.70%,38.50%,53.00%
California-05,Mike Thompson,D,D+21,76.90%,23.10%,68.80%,24.20%
California-06,Doris Matsui,D,D+21,75.40%,24.60%,68.00%,24.00%
California-07,Ami Bera,D,D+3,51.20%,48.80%,51.40%,40.10%
California-08,Paul Cook,R,R+9,37.70%,62.30%,39.60%,54.70%
California-09,Jerry McNerney,D,D+8,57.40%,42.60%,55.30%,37.20%
California-10,Jeff Denham,R,EVEN,48.30%,51.70%,47.90%,44.90%
California-11,Mark DeSaulnier,D,D+21,72.10%,27.90%,69.70%,22.10%
California-12,Nancy Pelosi,D,D+37,80.90%,0.00%,85.20%,8.60%
California-13,Barbara Lee,D,D+40,90.80%,9.20%,86.00%,6.70%
California-14,Jackie Speier,D,D+27,80.90%,19.10%,76.80%,18.20%
California-15,Eric Swalwell,D,D+20,73.80%,26.20%,68.60%,23.70%
California-16,Jim Costa,D,D+9,58.00%,42.00%,57.20%,35.90%
California-17,Ro Khanna,D,D+25,100.00%,0.00%,73.60%,20.40%
California-18,Anna Eshoo,D,D+23,71.10%,28.90%,73.40%,20.20%
California-19,Zoe Lofgren,D,D+24,73.90%,26.10%,72.90%,21.50%
California-20,Jimmy Panetta,D,D+23,70.80%,29.20%,69.90%,23.10%
California-21,David Valadao,R,D+5,43.30%,56.70%,54.70%,39.30%
California-22,Devin Nunes,R,R+8,32.40%,67.60%,41.90%,51.30%
California-23,Kevin McCarthy,R,R+14,30.80%,69.20%,35.80%,57.70%
California-24,Salud Carbajal,D,D+7,53.40%,46.60%,55.90%,36.00%
California-25,Steve Knight,R,EVEN,46.90%,53.10%,50.10%,43.40%
California-26,Julia Brownley,D,D+7,60.40%,39.60%,56.60%,35.20%
California-27,Judy Chu,D,D+16,67.40%,32.60%,66.00%,28.40%
California-28,Adam Schiff,D,D+23,78.00%,22.00%,72.10%,22.30%
California-29,Tony Cardenas,D,D+29,100.00%,0.00%,77.70%,16.80%
California-30,Brad Sherman,D,D+18,72.60%,27.40%,69.10%,25.70%
California-31,Pete Aguilar,D,D+8,56.10%,43.90%,57.70%,36.60%
California-32,Grace Napolitano,D,D+17,100.00%,0.00%,66.60%,27.70%
California-33,Ted Lieu,D,D+16,66.40%,33.60%,67.80%,26.50%
California-34,Xavier Becerra,D,D+35,100.00%,0.00%,83.60%,10.70%
California-35,Norma Torres,D,D+19,72.40%,27.60%,67.70%,26.90%
California-36,Raul Ruiz,D,D+2,62.10%,37.90%,52.20%,43.40%
California-37,Karen Bass,D,D+37,100.00%,0.00%,85.70%,9.60%
California-38,Linda Sanchez,D,D+17,70.50%,29.50%,67.00%,27.40%
California-39,Ed Royce,R,EVEN,42.80%,57.20%,51.10%,42.60%
California-40,Lucille Roybal-Allard,D,D+33,71.40%,0.00%,82.20%,12.80%
California-41,Mark Takano,D,D+12,65.00%,35.00%,61.00%,33.10%
California-42,Ken Calvert,R,R+9,41.20%,58.80%,41.40%,53.40%
California-43,Maxine Waters,D,D+29,76.10%,23.90%,78.40%,16.70%
California-44,Nanette Barragan,D,D+35,100.00%,0.00%,83.00%,12.30%
California-45,Mimi Walters,R,R+3,41.40%,58.60%,49.40%,44.00%
California-46,Lou Correa,D,D+15,100.00%,0.00%,65.60%,27.60%
California-47,Alan Lowenthal,D,D+13,63.70%,36.30%,62.40%,30.90%
California-48,Dana Rohrabacher,R,R+4,41.70%,58.30%,47.50%,45.80%
California-49,Darrell Issa,R,R+1,49.70%,50.30%,50.50%,43.10%
California-50,Duncan D. Hunter,R,R+11,36.50%,63.50%,39.60%,54.60%
California-51,Juan Vargas,D,D+22,72.80%,27.20%,71.70%,22.70%
California-52,Scott Peters,D,D+6,56.50%,43.50%,58.10%,35.60%
California-53,Susan Davis,D,D+14,67.00%,33.00%,64.50%,29.60%
Colorado-01,Diana DeGette,D,D+21,67.90%,27.70%,69.10%,23.30%
Colorado-02,OPEN (Polis),D,D+9,56.90%,37.20%,56.30%,35.00%
Colorado-03,Scott Tipton,R,R+6,40.30%,54.60%,40.00%,52.00%
Colorado-04,Ken Buck,R,R+13,31.70%,63.50%,34.30%,57.40%
Colorado-05,Doug Lamborn,R,R+14,30.90%,62.30%,33.20%,57.20%
Colorado-06,Mike Coffman,R,D+2,42.60%,50.90%,50.20%,41.30%
Colorado-07,Ed Perlmutter,D,D+6,55.20%,39.80%,51.80%,39.70%
Connecticut-01,John Larson,D,D+12,64.10%,33.80%,59.30%,36.30%
Connecticut-02,Joe Courtney,D,D+3,63.20%,33.70%,48.60%,45.70%
Connecticut-03,Rosa DeLauro,D,D+9,69.00%,31.00%,55.80%,40.30%
Connecticut-04,Jim Himes,D,D+7,59.90%,40.10%,59.50%,36.50%
Connecticut-05,Elizabeth Etsy,D,D+2,58.00%,42.00%,49.90%,45.80%
Delaware-AL,Lisa Blunt Rochester,D,D+6,55.50%,41.00%,53.20%,41.80%
Florida-01,Matt Gaetz,R,R+22,30.90%,69.10%,28.20%,67.50%
Florida-02,Neal Dunn,R,R+18,29.90%,67.30%,30.60%,66.20%
Florida-03,Ted Yoho,R,R+9,39.80%,56.60%,40.20%,56.20%
Florida-04,John Rutherford,R,R+17,27.60%,70.20%,34.10%,62.10%
Florida-05,Al Lawson,D,D+12,64.20%,35.80%,61.30%,35.90%
Florida-06,Ron DeSantis,R,R+7,41.40%,58.60%,39.90%,56.90%
Florida-07,Stephanie Murphy,D,EVEN,51.50%,48.50%,51.40%,44.10%
Florida-08,Bill Posey,R,R+11,32.50%,63.10%,37.70%,58.40%
Florida-09,Darren Soto,D,D+5,57.50%,42.50%,54.80%,41.90%
Florida-10,Val Demings,D,D+11,64.90%,35.10%,61.80%,34.90%
Florida-11,Dan Webster,R,R+15,31.60%,65.40%,32.50%,64.80%
Florida-12,Gus Bilirakis,R,R+8,31.40%,68.60%,38.80%,57.40%
Florida-13,Charlie Crist,D,D+2,51.90%,48.10%,49.60%,46.40%
