,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
0,Alabama-1,0.4829435076869879,0.5170564923130121,0
1,Alabama-2,0.529376539040111,0.47062346095988905,1
2,Alabama-3,0.4938952968845911,0.5061047031154089,0
3,Alabama-4,0.2300424926547507,0.7699575073452493,0
4,Alabama-5,0.42172205936481055,0.5782779406351894,0
5,Alabama-6,0.32890564783492204,0.671094352165078,0
6,Alabama-7,0.8563029401676071,0.1436970598323929,1
7,Alaska-1,0.3867745718382984,0.6132254281617016,0
8,Arizona-1,0.4779766736603532,0.5220233263396468,0
9,Arizona-2,0.516858330395609,0.483141669604391,1
10,Arizona-3,0.6818917144337877,0.3181082855662123,1
11,Arizona-4,0.2476793880565074,0.7523206119434926,0
12,Arizona-5,0.29406363682303904,0.705936363176961,0
13,Arizona-6,0.3259673017927563,0.6740326982072438,0
14,Arizona-7,0.8055859314025152,0.19441406859748478,1
15,Arizona-8,0.3375587841058084,0.6624412158941916,0
16,Arizona-9,0.527923913674308,0.472076086325692,1
17,Arkansas-1,0.55628440573006,0.44371559426994,1
18,Arkansas-2,0.590552824463485,0.409447175536515,1
19,Arkansas-3,0.2661101579959302,0.7338898420040698,0
20,Arkansas-4,0.5832728981157672,0.4167271018842328,1
21,California-1,0.33145878959140934,0.6685412104085906,0
22,California-10,0.46297739401598675,0.5370226059840133,0
23,California-11,0.6959081029452325,0.30409189705476747,1
24,California-12,0.8305902453592523,0.1694097546407477,1
25,California-13,0.9059839480858434,0.09401605191415663,1
26,California-14,0.7463516161477898,0.2536483838522102,1
27,California-15,0.70752967422288,0.29247032577711995,1
28,California-16,0.561234014853809,0.43876598514619103,1
29,California-17,0.7247367964061112,0.2752632035938888,1
30,California-18,0.6634740531595368,0.3365259468404632,1
31,California-19,0.7183167943410046,0.2816832056589954,1
32,California-2,0.6915743460537458,0.3084256539462542,1
33,California-20,0.6853783142291742,0.31462168577082583,1
34,California-21,0.5708008602860649,0.4291991397139351,1
35,California-22,0.36428084920201814,0.6357191507979818,0
36,California-23,0.34248928663115197,0.657510713368848,0
37,California-24,0.4902311451693893,0.5097688548306107,0
38,California-25,0.44880630582843367,0.5511936941715663,0
39,California-26,0.5016106027768803,0.4983893972231197,1
40,California-27,0.6508668669927896,0.3491331330072104,1
41,California-28,0.699113217715532,0.30088678228446797,1
42,California-29,0.7849343530221108,0.2150656469778892,1
43,California-3,0.50879910748795,0.49120089251205,1
44,California-30,0.673771587253021,0.326228412746979,1
45,California-31,0.5694316885229722,0.4305683114770278,1
46,California-32,0.6493854006515587,0.3506145993484413,1
47,California-33,0.6137008427263247,0.38629915727367525,1
48,California-34,0.853157752061269,0.14684224793873102,1
49,California-35,0.7058892226890936,0.2941107773109064,1
50,California-36,0.43938355916139876,0.5606164408386012,0
51,California-37,0.8833179512585236,0.11668204874147636,1
52,California-38,0.6739541754493638,0.32604582455063624,1
53,California-39,0.4556221414757664,0.5443778585242336,0
54,California-4,0.3006016938281699,0.6993983061718301,0
55,California-40,0.821658456940958,0.17834154305904204,1
56,California-41,0.5800412927672635,0.41995870723273654,1
57,California-42,0.3391905263826504,0.6608094736173495,0
58,California-43,0.829516701982852,0.170483298017148,1
59,California-44,0.8654467452395371,0.13455325476046287,1
60,California-45,0.38688309473929294,0.6131169052607071,0
61,California-46,0.6065138584717319,0.3934861415282681,1
62,California-47,0.6122372154331717,0.38776278456682833,1
63,California-48,0.36240302477138164,0.6375969752286184,0
64,California-49,0.3871323475103869,0.6128676524896131,0
65,California-5,0.7033058212054496,0.2966941787945504,1
66,California-50,0.31346934338715793,0.6865306566128421,0
67,California-51,0.7212902241999938,0.2787097758000062,1
68,California-52,0.4707752607289277,0.5292247392710723,0
69,California-53,0.6096152926006263,0.3903847073993737,1
70,California-6,0.737239966404362,0.26276003359563804,1
71,California-7,0.5145793200184816,0.4854206799815184,1
72,California-8,0.37111572291536243,0.6288842770846376,0
73,California-9,0.5961294038294704,0.40387059617052956,1
74,Colorado-1,0.7551240013713741,0.24487599862862586,1
75,Colorado-2,0.5603999763029304,0.43960002369706963,1
76,Colorado-3,0.43434019034202725,0.5656598096579728,0
77,Colorado-4,0.3428238382958379,0.657176161704162,0
78,Colorado-5,0.32022338976429926,0.6797766102357008,0
79,Colorado-6,0.5443431702627213,0.4556568297372787,1
80,Colorado-7,0.5649801864169514,0.43501981358304864,1
81,Connecticut-1,0.6883363906304026,0.31166360936959736,1
82,Connecticut-2,0.5097328284827076,0.4902671715172924,1
83,Connecticut-3,0.6774467077824925,0.3225532922175075,1
84,Connecticut-4,0.5373526532717656,0.4626473467282344,1
85,Connecticut-5,0.5084648206827667,0.49153517931723334,1
86,Delaware-1,0.6123857223141624,0.38761427768583756,1
87,District of Columbia-1,0.8661211540883466,0.13387884591165344,1
88,Florida-1,0.3128541324343848,0.6871458675656152,0
89,Florida-10,0.688432475851376,0.311567524148624,1
90,Florida-11,0.3205555422089746,0.6794444577910255,0
91,Florida-12,0.38088266246311203,0.6191173375368879,0
92,Florida-13,0.5347131053300851,0.4652868946699149,1
93,Florida-14,0.6280884266274075,0.3719115733725925,1
94,Florida-15,0.4848992632763869,0.5151007367236131,0
95,Florida-16,0.40559536966441345,0.5944046303355865,0
96,Florida-17,0.3651260226535886,0.6348739773464114,0
97,Florida-18,0.4601777902919615,0.5398222097080385,0
98,Florida-19,0.31152629185216446,0.6884737081478356,0
99,Florida-2,0.42461739063621085,0.5753826093637892,0
100,Florida-20,0.8881800999966118,0.11181990000338815,1
101,Florida-21,0.646779797308237,0.353220202691763,1
102,Florida-22,0.6100280816296139,0.38997191837038614,1
103,Florida-23,0.6770110181025477,0.3229889818974523,1
104,Florida-24,0.9018256011612499,0.09817439883875012,1
105,Florida-25,0.3936545213801245,0.6063454786198754,0
106,Florida-26,0.6180526501964161,0.3819473498035839,1
107,Florida-27,0.5990883345018911,0.40091166549810886,1
108,Florida-3,0.49712940269899053,0.5028705973010095,0
109,Florida-4,0.3259574610297429,0.6740425389702571,0
110,Florida-5,0.7987019092566052,0.20129809074339478,1
111,Florida-6,0.43394632715750975,0.5660536728424903,0
112,Florida-7,0.5045530978461179,0.4954469021538821,1
113,Florida-8,0.3897402714815882,0.6102597285184118,0
114,Florida-9,0.5787021574341724,0.4212978425658276,1
115,Georgia-1,0.5593612334550957,0.4406387665449043,1
116,Georgia-10,0.48344382130016117,0.5165561786998388,0
117,Georgia-11,0.37363428608429944,0.6263657139157006,0
118,Georgia-12,0.6148528857675392,0.38514711423246084,1
119,Georgia-13,0.8430963970885792,0.1569036029114208,1
120,Georgia-14,0.2523775051644379,0.7476224948355621,0
121,Georgia-2,0.7681337994155687,0.2318662005844313,1
122,Georgia-3,0.4247795427678975,0.5752204572321025,0
123,Georgia-4,0.8680950618122373,0.13190493818776272,1
124,Georgia-5,0.8931153442872869,0.1068846557127131,1
125,Georgia-6,0.43267086853925213,0.5673291314607478,0
126,Georgia-7,0.49877760281831485,0.5012223971816852,0
127,Georgia-8,0.5297398059847742,0.4702601940152258,1
128,Georgia-9,0.21474176139764548,0.7852582386023546,0
129,Hawaii-1,0.5868109908905373,0.41318900910946266,1
130,Hawaii-2,0.6078638680442353,0.3921361319557647,1
131,Idaho-1,0.29232859141247536,0.7076714085875246,0
132,Idaho-2,0.3755229438276523,0.6244770561723477,0
133,Illinois-1,0.8642384573963291,0.1357615426036709,1
134,Illinois-10,0.5553587667000213,0.44464123329997873,1
135,Illinois-11,0.5651871562481545,0.4348128437518455,1
136,Illinois-12,0.557310441670509,0.442689558329491,1
137,Illinois-13,0.4707968763532546,0.5292031236467454,0
138,Illinois-14,0.2966433849338532,0.7033566150661468,0
139,Illinois-15,0.27067901069364864,0.7293209893063514,0
140,Illinois-16,0.3035344667569396,0.6964655332430604,0
141,Illinois-17,0.5086062628868703,0.4913937371131297,1
142,Illinois-18,0.24721207263086176,0.7527879273691382,0
143,Illinois-2,0.8785719897371791,0.1214280102628209,1
144,Illinois-3,0.6868304151913477,0.3131695848086523,1
145,Illinois-4,0.8609965724772902,0.13900342752270978,1
146,Illinois-5,0.7430977439021387,0.2569022560978613,1
147,Illinois-6,0.327099216903182,0.672900783096818,0
148,Illinois-7,0.9216927590535766,0.07830724094642338,1
149,Illinois-8,0.5802812058456963,0.4197187941543037,1
150,Illinois-9,0.7285095253442051,0.2714904746557949,1
151,Indiana-1,0.7526826368257246,0.24731736317427544,1
152,Indiana-2,0.4473437622569929,0.5526562377430071,0
153,Indiana-3,0.32257819709035107,0.6774218029096489,0
154,Indiana-4,0.2970585027135855,0.7029414972864145,0
155,Indiana-5,0.3832217394141804,0.6167782605858196,0
156,Indiana-6,0.33674605042597466,0.6632539495740253,0
157,Indiana-7,0.7474750556873865,0.2525249443126135,1
158,Indiana-8,0.4890963759479214,0.5109036240520786,0
159,Indiana-9,0.4224696359454005,0.5775303640545995,0
160,Iowa-1,0.4889831793931583,0.5110168206068417,0
161,Iowa-2,0.5072988958596641,0.49270110414033585,1
162,Iowa-3,0.45636152091998916,0.5436384790800108,0
163,Iowa-4,0.34907754004304936,0.6509224599569506,0
164,Kansas-1,0.27466731224943464,0.7253326877505654,0
165,Kansas-2,0.42764495205183495,0.572355047948165,0
166,Kansas-3,0.47321804596195305,0.526781954038047,0
167,Kansas-4,0.3758707565984284,0.6241292434015716,0
168,Kentucky-1,0.485671258338377,0.514328741661623,0
169,Kentucky-2,0.4615807712430899,0.5384192287569101,0
170,Kentucky-3,0.6315259912282045,0.3684740087717955,1
171,Kentucky-4,0.3814628894053884,0.6185371105946116,0
172,Kentucky-5,0.3635287244519451,0.6364712755480548,0
173,Kentucky-6,0.5467646135115202,0.45323538648847983,1
174,Louisiana-1,0.38894446732695437,0.6110555326730456,0
175,Louisiana-2,0.8810242220334126,0.11897577796658743,1
176,Louisiana-3,0.52031977923304,0.47968022076696004,1
177,Louisiana-4,0.5813203083507741,0.4186796916492259,1
178,Louisiana-5,0.600846032976762,0.399153967023238,1
179,Louisiana-6,0.5087523731672976,0.4912476268327024,1
180,Maine-1,0.5370808062913566,0.46291919370864343,1
181,Maine-2,0.4506720758541689,0.5493279241458311,0
182,Maryland-1,0.3965367253618836,0.6034632746381163,0
183,Maryland-2,0.7506448603464939,0.24935513965350609,1
184,Maryland-3,0.7079130403612095,0.2920869596387905,1
185,Maryland-4,0.8506240176554415,0.1493759823445585,1
186,Maryland-5,0.7538798194592494,0.24612018054075058,1
187,Maryland-6,0.5777054362977972,0.42229456370220275,1
188,Maryland-7,0.8366779064265188,0.16332209357348115,1
189,Maryland-8,0.6494354110701911,0.3505645889298089,1
190,Massachusetts-1,0.647225549204449,0.35277445079555103,1
191,Massachusetts-2,0.5990717896612734,0.4009282103387266,1
192,Massachusetts-3,0.5774978047674738,0.4225021952325262,1
193,Massachusetts-4,0.5913219026402428,0.40867809735975724,1
194,Massachusetts-5,0.7263232480188947,0.2736767519811053,1
195,Massachusetts-6,0.5711213231593579,0.42887867684064207,1
196,Massachusetts-7,0.892489267020402,0.10751073297959801,1
197,Massachusetts-8,0.6825815151260947,0.31741848487390534,1
198,Massachusetts-9,0.5280677102233489,0.47193228977665114,1
199,Michigan-1,0.32815008341290675,0.6718499165870933,0
200,Michigan-10,0.2975685358768287,0.7024314641231713,0
201,Michigan-11,0.4069614882329718,0.5930385117670283,0
202,Michigan-12,0.7298441479991715,0.2701558520008285,1
203,Michigan-13,0.8997213842358469,0.10027861576415309,1
204,Michigan-14,0.8762309277479274,0.12376907225207257,1
205,Michigan-2,0.33049265182778004,0.66950734817222,0
206,Michigan-3,0.3917553076517074,0.6082446923482926,0
207,Michigan-4,0.2863114089990089,0.7136885910009911,0
