,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
0,Alabama-1,0.3588967105005025,0.6411032894994975,0
1,Alabama-2,0.40885436601082725,0.5911456339891727,0
2,Alabama-3,0.38039513521165746,0.6196048647883425,0
3,Alabama-4,0.19680604682738945,0.8031939531726106,0
4,Alabama-5,0.3516398965017605,0.6483601034982396,0
5,Alabama-6,0.2777155514304471,0.7222844485695529,0
6,Alabama-7,0.7724075612998886,0.22759243870011137,1
7,Alaska-1,0.4021234222868032,0.5978765777131968,0
8,Arizona-1,0.5654582416639964,0.4345417583360036,1
9,Arizona-2,0.6247030008340779,0.3752969991659221,1
10,Arizona-3,0.822433997723108,0.177566002276892,1
11,Arizona-4,0.3129931317888085,0.6870068682111915,0
12,Arizona-5,0.36472857236338696,0.635271427636613,0
13,Arizona-6,0.3921725354644219,0.6078274645355781,0
14,Arizona-7,0.873833769542433,0.12616623045756703,1
15,Arizona-8,0.4280004438885053,0.5719995561114948,0
16,Arizona-9,0.627521833611071,0.37247816638892906,1
17,Arkansas-1,0.4903582120235158,0.5096417879764842,0
18,Arkansas-2,0.5198995229913126,0.4801004770086874,1
19,Arkansas-3,0.3006184424375086,0.6993815575624913,0
20,Arkansas-4,0.5177973724729996,0.4822026275270004,1
21,California-1,0.3779004837305097,0.6220995162694902,0
22,California-10,0.6289843515469451,0.3710156484530549,1
23,California-11,0.7498748786857528,0.25012512131424725,1
24,California-12,0.8464429651379479,0.15355703486205208,1
25,California-13,0.9018884346368475,0.09811156536315246,1
26,California-14,0.804143273918784,0.19585672608121596,1
27,California-15,0.7748386852266486,0.22516131477335144,1
28,California-16,0.7342468624814081,0.26575313751859186,1
29,California-17,0.7773209188986288,0.22267908110137125,1
30,California-18,0.7178045960797278,0.2821954039202722,1
31,California-19,0.8193737764261072,0.1806262235738928,1
32,California-2,0.7355019555036026,0.26449804449639736,1
33,California-20,0.8054565875058768,0.1945434124941232,1
34,California-21,0.7792083603717005,0.2207916396282995,1
35,California-22,0.5413021059849541,0.4586978940150459,1
36,California-23,0.4783914342272531,0.521608565772747,0
37,California-24,0.615909734840946,0.384090265159054,1
38,California-25,0.5807872708680816,0.4192127291319184,1
39,California-26,0.6732929225963202,0.32670707740367977,1
40,California-27,0.7439308143652965,0.2560691856347035,1
41,California-28,0.7802432328453757,0.21975676715462433,1
42,California-29,0.8680914039511582,0.13190859604884175,1
43,California-3,0.6028061970364418,0.3971938029635582,1
44,California-30,0.7584117656392549,0.24158823436074506,1
45,California-31,0.7195311523444752,0.2804688476555248,1
46,California-32,0.8087224056337847,0.19127759436621528,1
47,California-33,0.6586180551321922,0.3413819448678078,1
48,California-34,0.9009581584299543,0.0990418415700457,1
49,California-35,0.8312266381280192,0.16877336187198078,1
50,California-36,0.6166883646549518,0.3833116353450482,1
51,California-37,0.8848439242328175,0.11515607576718245,1
52,California-38,0.826861305709899,0.17313869429010098,1
53,California-39,0.6042956819207098,0.3957043180792902,1
54,California-4,0.34328459384237175,0.6567154061576282,0
55,California-40,0.8819361669203838,0.11806383307961621,1
56,California-41,0.7348185184606664,0.26518148153933363,1
57,California-42,0.47213794592875563,0.5278620540712444,0
58,California-43,0.8519650182586946,0.14803498174130536,1
59,California-44,0.8891567869118064,0.11084321308819356,1
60,California-45,0.47084077584389605,0.529159224156104,0
61,California-46,0.7884818810170023,0.21151811898299766,1
62,California-47,0.713007746909196,0.286992253090804,1
63,California-48,0.4441075575681582,0.5558924424318419,0
64,California-49,0.47764462709010785,0.5223553729098922,0
65,California-5,0.7608497594989808,0.23915024050101918,1
66,California-50,0.4297044917843888,0.5702955082156111,0
67,California-51,0.8394533138202231,0.16054668617977685,1
68,California-52,0.5297601199503058,0.4702398800496942,1
69,California-53,0.711796672871089,0.28820332712891095,1
70,California-6,0.7844177045957974,0.2155822954042026,1
71,California-7,0.57259097365894,0.42740902634106004,1
72,California-8,0.5000013111614613,0.4999986888385387,1
73,California-9,0.7125763905305681,0.2874236094694319,1
74,Colorado-1,0.7985891030720889,0.20141089692791114,1
75,Colorado-2,0.5956239254392433,0.40437607456075675,1
76,Colorado-3,0.5595215508566694,0.44047844914333056,1
77,Colorado-4,0.4493845259328138,0.5506154740671863,0
78,Colorado-5,0.36966132605043606,0.630338673949564,0
79,Colorado-6,0.6008910567526414,0.39910894324735857,1
80,Colorado-7,0.6728929538439204,0.32710704615607955,1
81,Connecticut-1,0.7178468826205852,0.28215311737941484,1
82,Connecticut-2,0.5398989821944324,0.46010101780556756,1
83,Connecticut-3,0.6961896875031117,0.3038103124968883,1
84,Connecticut-4,0.5986138836602586,0.4013861163397414,1
85,Connecticut-5,0.5887274517550124,0.4112725482449876,1
86,Delaware-1,0.5751589664645732,0.4248410335354268,1
87,District of Columbia-1,0.8186874201492003,0.18131257985079974,1
88,Florida-1,0.26888277692526075,0.7311172230747393,0
89,Florida-10,0.7141846578289882,0.2858153421710118,1
90,Florida-11,0.34799842369208794,0.6520015763079121,0
91,Florida-12,0.42901569117549254,0.5709843088245075,0
92,Florida-13,0.5230449188163516,0.4769550811836484,1
93,Florida-14,0.6810320466039487,0.31896795339605133,1
94,Florida-15,0.5272664085557667,0.4727335914442333,1
95,Florida-16,0.4432342377563113,0.5567657622436887,0
96,Florida-17,0.39511413250620436,0.6048858674937956,0
97,Florida-18,0.4856097102231755,0.5143902897768244,0
98,Florida-19,0.3697567963815768,0.6302432036184231,0
99,Florida-2,0.3939505066120767,0.6060494933879232,0
100,Florida-20,0.8642506991635572,0.13574930083644277,1
101,Florida-21,0.6884227920914643,0.3115772079085357,1
102,Florida-22,0.659906286208326,0.34009371379167397,1
103,Florida-23,0.7497539292755726,0.2502460707244274,1
104,Florida-24,0.885787952429137,0.114212047570863,1
105,Florida-25,0.6055448581716568,0.3944551418283432,1
106,Florida-26,0.7555129915050234,0.24448700849497662,1
107,Florida-27,0.7540611795867785,0.24593882041322146,1
108,Florida-3,0.4739191427142678,0.5260808572857322,0
109,Florida-4,0.3216487864611904,0.6783512135388097,0
110,Florida-5,0.7178572331145996,0.2821427668854004,1
111,Florida-6,0.45580683473052225,0.5441931652694778,0
112,Florida-7,0.5947933606873641,0.4052066393126359,1
113,Florida-8,0.4005030505864267,0.5994969494135733,0
114,Florida-9,0.7132893040645062,0.2867106959354938,1
115,Georgia-1,0.45444553241658336,0.5455544675834166,0
116,Georgia-10,0.3892596866506733,0.6107403133493268,0
117,Georgia-11,0.34610397646777824,0.6538960235322218,0
118,Georgia-12,0.4936339655100708,0.5063660344899292,0
119,Georgia-13,0.7729647926773252,0.2270352073226748,1
120,Georgia-14,0.23965893695420099,0.760341063045799,0
121,Georgia-2,0.6549631293740953,0.3450368706259047,1
122,Georgia-3,0.3370034973092619,0.6629965026907381,0
123,Georgia-4,0.8025523963806874,0.19744760361931257,1
124,Georgia-5,0.8468303257369794,0.15316967426302064,1
125,Georgia-6,0.4308113824687855,0.5691886175312145,0
126,Georgia-7,0.5062659633242003,0.49373403667579974,1
127,Georgia-8,0.420445530138718,0.579554469861282,0
128,Georgia-9,0.21137414869418641,0.7886258513058135,0
129,Hawaii-1,0.6152455454444211,0.3847544545555789,1
130,Hawaii-2,0.6568775899225539,0.34312241007744615,1
131,Idaho-1,0.33995850045601905,0.660041499543981,0
132,Idaho-2,0.4226740502202327,0.5773259497797674,0
133,Illinois-1,0.8036181920750329,0.19638180792496707,1
134,Illinois-10,0.6306531920920756,0.3693468079079244,1
135,Illinois-11,0.643963007337784,0.356036992662216,1
136,Illinois-12,0.4966266608973309,0.5033733391026691,0
137,Illinois-13,0.4438710501246265,0.5561289498753734,0
138,Illinois-14,0.3426824664748758,0.6573175335251242,0
