,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
0,Alabama-1,0.3711183666554351,0.6288816333445649,0
1,Alabama-2,0.4195432393657196,0.5804567606342804,0
2,Alabama-3,0.3945987285398976,0.6054012714601025,0
3,Alabama-4,0.19969054404721556,0.8003094559527845,0
4,Alabama-5,0.36203331544380485,0.6379666845561951,0
5,Alabama-6,0.28616935280195366,0.7138306471980463,0
6,Alabama-7,0.7756718327692058,0.22432816723079418,1
7,Alaska-1,0.4187617682692067,0.5812382317307934,0
8,Arizona-1,0.5062576889686775,0.4937423110313225,1
9,Arizona-2,0.5577655756129054,0.4422344243870946,1
10,Arizona-3,0.6953337365751774,0.3046662634248226,1
11,Arizona-4,0.2814844712594759,0.718515528740524,0
12,Arizona-5,0.325293083866844,0.674706916133156,0
13,Arizona-6,0.36720914661520215,0.6327908533847979,0
14,Arizona-7,0.8019085833754822,0.1980914166245178,1
15,Arizona-8,0.37086324589513303,0.6291367541048669,0
16,Arizona-9,0.5599985431281375,0.44000145687186254,1
17,Arkansas-1,0.5246425181158386,0.4753574818841614,1
18,Arkansas-2,0.54242459462706,0.45757540537293995,1
19,Arkansas-3,0.29547275531447204,0.704527244685528,0
20,Arkansas-4,0.5426223065141218,0.4573776934858782,1
21,California-1,0.37855567436896637,0.6214443256310336,0
22,California-10,0.48793938760609984,0.5120606123939002,0
23,California-11,0.7023032942064729,0.29769670579352714,1
24,California-12,0.836830382261326,0.163169617738674,1
25,California-13,0.8958033461316137,0.10419665386838628,1
26,California-14,0.761651429833105,0.23834857016689504,1
27,California-15,0.7160517410334166,0.2839482589665834,1
28,California-16,0.5650153699814304,0.4349846300185696,1
29,California-17,0.7373639286995367,0.2626360713004633,1
30,California-18,0.6980179471837574,0.3019820528162426,1
31,California-19,0.733150907725495,0.26684909227450504,1
32,California-2,0.733031229207767,0.266968770792233,1
33,California-20,0.7131043857596675,0.2868956142403325,1
34,California-21,0.5773751046413629,0.4226248953586371,1
35,California-22,0.38657138254008183,0.6134286174599182,0
